Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,,APCON 31A/C,APCON,STABILIZER,STABILIZER,0,Y,N,CE,,,,,,,
,,APCON 34A/C,APCON,STABILIZER,STABILIZER,0,Y,N,CE,,,,,,,
,,CASSIO VVA 5K4,CASSIO,STABILIZER,STABILIZER,0,Y,N,CE,,,,,,,
,,CASSIO VVA5004DX,CASSIO,STABILIZER,STABILIZER,0,Y,N,CE,,,,,,,
,,CASSIO VVA5K8T,CASSIO,STABILIZER,STABILIZER,0,Y,N,CE,,,,,,,
,,CASSIO VVM1507C,CASSIO,STABILIZER,STABILIZER,0,Y,N,CE,,,,,,,
,,Daveson 500A,Daveson,STABILIZER,STABILIZER,0,Y,N,CE,,,,,,,
,,VENUS 15LTR. GLV W/H,VENUS,DHA,GIZAR,0,Y,N,CE,,,,,,,
,,SONY PSPE1004,Sony,PSP,PSP,0,Y,N,CE,,,,,,,
,,SONY SCPH90004,Sony,PSP,PSP,0,Y,N,CE,,,,,,,
,,VOLTAS 20/20 WATER COOLER(FSS)-PU,VOLTAS,WATER COOLER,WATER COOLER,0,Y,N,CE,,,,,,,
,,VOLTAS MINIMAGIC FRESH WATER DESPENSER (F),VOLTAS,WATER DESPENSER,WATER DESPENSER,0,Y,N,CE,,,,,,,
,,VOLTAS Minimagic Super Water Dispenser,VOLTAS,WATER DESPENSER,WATER DESPENSER,0,Y,N,CE,,,,,,,
,,TATA SKY Recharge s-pins/ Value top-ups,TATASKY,RCV,RCV,0,Y,N,CE,,,,,,,
,,GODREJ GC21J12TSB,Godrej,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,GODREJ GC21J22TSB,Godrej,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,GODREJ GC21S22TSB,Godrej,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,GODREJ GC21S43TRB,Godrej,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,GODREJ GC21S53TRB,Godrej,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14ELITEB,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14ELITER,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14ELITG,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14ELITGB,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14ELITGR,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14ELLEB,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14ELLEBW,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14ELLESG,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14ELLGBRCTV,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14ELLGSB,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14JRT120B,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14JST120B,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14PIULGS CTV,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14PIUPGS,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14SFP100BAV,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14SFP120BU,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI14SFP60B,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21ELFL200S,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21ELFLES,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21ELFTB,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21ELFTE (120W),IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21ELL300B,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21ELP1000,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21ELP300B,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21ELP500,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21ELS1000W,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21ELT200,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21JST200B,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SFL120S,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SFL200B,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SFL200S,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SFS300S,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SFU120SD,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SFU200B,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SGL200B,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SGP1000BU,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SGP200B,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SGP400BS,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SML250B,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SMP250B,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,IGO CI21SMP350BU,IGO,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 14PT2118CTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 14PT2407,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 14PT3626,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 15PT2527/UTCTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 20HT1782,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 20PT1433,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT2217,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT2411CTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT3326,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT3327,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT3327/94,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT3527,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT3883CTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT3885,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT4326,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT4327,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT4437/94CTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT5017B/UTCTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT5027/UTCTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT5438/94CTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT5438CTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT5527,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT5547/94CTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 21PT8868/94CTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 29PT2204CTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 29PT2452CTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,PHILIPS 29PT5507/94CTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
