Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Formulation,Pack Type
9201,400000349,HBM - R4,Puff&Karis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000350,HBM - R6,Puff&Karis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000352,HBM - R9,Puff&Karis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000999,test,Specialty Fats,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000860,HBM ST-98,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000347,HBM - Y10,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000348,HBM - Y12,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000349,HBM - R4,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000350,HBM - R6,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000352,HBM - R9,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000353,HBM - G11,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000354,HBM - G13,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000355,HBM - S13,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000389,HBM Gold - RG01,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000390,HBM Gold - WG01,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000428,HBM Biscuit & Cookies - GT01,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000412,HBM Gold - GG01,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000411,HBM Gold - YG01,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000427,HBM Gold - PG01,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000413,HBM - Y13,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000414,HBM - Y99,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000528,HBM - G14,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000545,HBM Gold - GG02,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000347,HBM - Y10,All Purpose,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000348,HBM - Y12,All Purpose,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000349,HBM - R4,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000350,HBM - R6,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000352,HBM - R9,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000353,HBM - G11,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000354,HBM - G13,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000355,HBM - S13,Three In One,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000389,HBM Gold - RG01,Puffs & Kharis,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000390,HBM Gold - WG01,Frozen Dessert,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000428,HBM - GT01,Biscuits & Cookies,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000412,HBM Gold - GG01,Biscuits & Cookies,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000411,HBM Gold - YG01,All Purpose,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000427,HBM Gold - PG01,Cakes & Creams (Aer),,,0,Y,N,Specialty Fats,Case,Ltr,15.04,BP,MT,1114.21,0,no,
9207,400000413,HBM - Y13,All Purpose,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000414,HBM - Y99,All Purpose,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000528,HBM - G14,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000545,HBM Gold - GG02,Biscuits & Cookies,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000598,HBM - R10 (Puff),Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9207,400000621,HBM - R5,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
