Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,FG0567,LACHHA (MITHA) Dry fruit Silver Basket |500 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0568,All In One |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0569,LACHHA (MITHA) Dry fruit Silver Basket |1000 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0570,Chat Patta |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0571,LACHHA (MITHA) Board Tray |500 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0572,Supreme Mixture |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0573,LACHHA (MITHA) Board Tray |1000 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0574,Alu Bhujia |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0575,LACHHA MILK (MITHA) Board Tray |500 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0576,Bhujia |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0577,PJ LACHHA SHAHI (MITHA)500g Box |500 Gms.,(LACHHA PACKS),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0578,Moong Dal Fried |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0579,PJ Resham-e- Lachha (MITHA)500g  Box |500 Gms.,(LACHHA PACKS),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0580,Pj Khatta Mitha |50 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0581,Pj Kesar Lachha 650g Tin |650 Gms.,(LACHHA PACKS),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0582,Pj Jhal Chanachur |50 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
