Location,Prod_Code,mrp_code,mrp,sale_rate,vertical_value
9407DD,400000682,,,0,Specialty Fats
9407DD,400000700,,,0,Specialty Fats
9407DD,400000699,,,0,Specialty Fats
9407DD,400000719,,,0,Specialty Fats
9407DD,400000747,,,0,Specialty Fats
9407DD,400000748,,,0,Specialty Fats
9407DD,400000774,,,0,Specialty Fats
9407DD,400000753,,,0,Specialty Fats
9407DD,400000754,,,0,Specialty Fats
9407DD,400000756,,,0,Specialty Fats
9407DD,400000757,,,0,Specialty Fats
9407DD,400000758,,,0,Specialty Fats
9407D,400000347,,,0,Specialty Fats
9407D,400000348,,,0,Specialty Fats
9407D,400000349,,,0,Specialty Fats
9407D,400000350,,,0,Specialty Fats
9407D,400000352,,,0,Specialty Fats
9407D,400000353,,,0,Specialty Fats
9407D,400000354,,,0,Specialty Fats
9407D,400000355,,,0,Specialty Fats
9407D,400000389,,,0,Specialty Fats
9407D,400000390,,,0,Specialty Fats
9407D,400000428,,,0,Specialty Fats
9407D,400000412,,,0,Specialty Fats
9407D,400000411,,,0,Specialty Fats
9407D,400000427,,,0,Specialty Fats
9407D,400000413,,,0,Specialty Fats
9407D,400000414,,,0,Specialty Fats
9407D,400000545,,,0,Specialty Fats
9407D,400000528,,,0,Specialty Fats
9407D,400000347,,,0,Specialty Fats
9407D,400000348,,,0,Specialty Fats
9407D,400000349,,,0,Specialty Fats
9407D,400000350,,,0,Specialty Fats
9407D,400000352,,,0,Specialty Fats
9407D,400000353,,,0,Specialty Fats
9407D,400000354,,,0,Specialty Fats
9407D,400000355,,,0,Specialty Fats
9407D,400000389,,,0,Specialty Fats
9407D,400000428,,,0,Specialty Fats
9407D,400000412,,,0,Specialty Fats
9407D,400000411,,,0,Specialty Fats
9407D,400000427,,,0,Specialty Fats
9407D,400000413,,,0,Specialty Fats
9407D,400000414,,,0,Specialty Fats
9407D,400000528,,,0,Specialty Fats
9407D,400000545,,,0,Specialty Fats
9407D,400000598,,,0,Specialty Fats
9407D,400000621,,,0,Specialty Fats
9407D,400000631,,,0,Specialty Fats
9407D,400000655,,,0,Specialty Fats
9407D,400000658,,,0,Specialty Fats
9407D,400000656,,,0,Specialty Fats
9407D,400000682,,,0,Specialty Fats
9407D,400000700,,,0,Specialty Fats
9407D,400000699,,,0,Specialty Fats
9407D,400000719,,,0,Specialty Fats
9407D,400000747,,,0,Specialty Fats
9407D,400000748,,,0,Specialty Fats
9407D,400000774,,,0,Specialty Fats
9407D,400000753,,,0,Specialty Fats
9407D,400000754,,,0,Specialty Fats
9407D,400000756,,,0,Specialty Fats
9407D,400000757,,,0,Specialty Fats
9407D,400000758,,,0,Specialty Fats
9213,400000347,,,0,Specialty Fats
9213,400000348,,,0,Specialty Fats
9213,400000349,,,0,Specialty Fats
9213,400000350,,,0,Specialty Fats
9213,400000352,,,0,Specialty Fats
9213,400000353,,,0,Specialty Fats
9213,400000354,,,0,Specialty Fats
9213,400000355,,,0,Specialty Fats
9213,400000389,,,0,Specialty Fats
9213,400000390,,,0,Specialty Fats
9213,400000428,,,0,Specialty Fats
9213,400000412,,,0,Specialty Fats
9213,400000411,,,0,Specialty Fats
9213,400000427,,,0,Specialty Fats
9213,400000413,,,0,Specialty Fats
9213,400000414,,,0,Specialty Fats
9213,400000545,,,0,Specialty Fats
9213,400000528,,,0,Specialty Fats
9213,400000347,,,0,Specialty Fats
